Local name,Sample number,value puntc. res ,sugar content,color_pca1,color_pca2
Fohanasity,Foha_8,11,2.1,-15.76402728,-4.188395719
Fohanasity,Foha_9,9.5,2,-15.57552282,-4.286932014
Fohanasity,Foha_10,9.8,2,-14.46665416,-3.170182602
Fohanasity,Foha_11,10,1.8,-17.30646637,-3.843112861
Fohanasity,Foha_12,10,2,-17.57950132,-3.956500499
Fohanasity,Foha_24,9.9,2,22.22183754,-12.39150265
Fohanasity,Foha_25,25,1,23.18607134,-13.5120188
Fohanasity,Foha_26,13,2,27.62708751,-16.10252788
Fohanasity,Foha_27,11,2,12.27000412,-6.705295822
Fohanasity,Foha_28,4,1.5,11.49032854,-6.2043858
Fohanasity,Foha_29,9.5,2,26.24693471,-16.23741215
Fohanasity,Foha_30,11,2,28.96621998,-16.42179018
Fohanasity,Foha_31,5,2,20.41545558,-9.896157705
Fohanasity,Foha_32,10,2,25.10761694,-15.14391537
Fohanasity,Foha_33,9,2,22.48215907,-12.67750045
Fohanasity,Foha_148,2,1.5,16.02166795,11.70725288
Fohanasity,Foha_149,1,2,7.773885606,9.707814801
Fohanasity,Foha_150,1,1.5,0.975845003,6.385544581
Fohanasity,Foha_151,1,1,-9.340716389,6.402201388
Fohanasity,Foha_152,3,2,0.80227436,7.836877432
Fohanasity,Foha_153,1.5,2,-5.426386954,7.195917621
Fohanasity,Foha_154,1,1,-0.653601723,5.958636094
Fohanasity,Foha_155,1,2,-9.555144854,7.048970571
Fohanasity,Foha_156,2,2,-4.888330907,6.059872026
Fohanasity,Foha_157,1.5,2,-9.526356517,3.065910969
Fohanasity,Foha_158,3,1.5,25.55629176,13.04671737
Fohanasity,Foha_159,2,1,20.7237524,14.15515486
Fohanasity,Foha_160,2,2,-13.76145725,5.620185461
Fohanasity,Foha_161,1.5,1.5,-2.317913051,7.419097869
Fohanasity,Foha_162,4.5,2,-13.21095912,5.272429335
Fohanasity,Foha_163,2,2,8.253862284,9.002982894
Fohanasity,Foha_164,1.5,2,-6.861960167,5.292136319
Fohanasity,Foha_165,1,1.5,21.82823451,8.243621443
Fohanasity,Foha_166,3,1,-10.20879852,5.419801365
Fohanasity,Foha_167,2,2,-0.982498989,7.405142098
Fohanasity,Foha_168,2,1.5,22.37738638,11.39811578
Fohanasity,Foha_169,3,1.5,44.98215342,16.78482114
Fohanasity,Foha_170,3,2,18.53409915,9.930427332
Fohanasity,Foha_196,4,2,-16.94033332,-3.73158147
Fohanasity,Foha_197,11,2,-14.94897436,-3.981987114
Fohanasity,Foha_198,17,2,-17.36424258,-3.465184042
Fohanasity,Foha-199,17,2,-18.32328335,-3.8939908
Fohanasity,Foha_200,11.5,2,-18.41192153,-3.456347746
Fohanasity,Foha_201,14.5,2,-17.81671894,-3.313030339
Fohanasity,Foha_202,16,2,-18.66245197,-3.596413014
Fohanasity,Foha_203,13,1.3,-17.79407889,-2.676189314
Fohanasity,Foha_205,15,1,-14.74065213,-3.173823968
Fohanasity,Foha_206,15,2,-16.91743724,-1.654688994
Fohanasity,Foha_207,12.5,2,-18.05603248,-2.707128381
Fohanasity,Foha_208,11,2,-17.8153637,-3.078600404
Fohanasity,Foha_209,18,1.5,-17.69181685,-3.524072996
Fohanasity,Foha_210,15,2,-14.9335644,-3.368962533
