Local name,Sample number,value puntc. res ,sugar content,color_pca1
Guave,Guave_1,11,5,-10.3829857
Guave,Guave_2,11.6,4,-11.91215125
Guave,Guave_3,7.5,5,-11.89397412
Guave,Guave_4,30,5,-11.68195019
Guave,Guave_5,15.4,5,-12.69068937
Guave,Guave_6,13.9,4.5,-11.76694306
Guave,Guave_7,3.1,5,3.454444018
Guave,Guave_34,8,6,36.2317313
Guave,Guave_35,5.8,4,35.50818366
Guave,Guave_36,9.5,4.5,27.36444373
Guave,Guave_37,13,3.5,32.54950914
Guave,Guave_38,9,3.5,38.18931325
Guave,Guave_39,6.5,4,37.17265778
Guave,Guave_40,6,3.5,31.08211885
Guave,Guave_41,4,3,37.52779398
Guave,Guave_42,5,3,40.44578173
Guave,Guave_43,11.5,4,0
Guave,Guave_44,13,4,36.29730121
Guave,Guave_45,6,5,34.87585855
Guave,Guave_124,5,5,-11.66667583
Guave,Guave_125,7.5,4.5,-10.78812824
Guave,Guave_126,9,5,0
Guave,Guave_127,14,5,-11.5217631
Guave,Guave_128,14,5,-10.65033908
Guave,Guave_129,15,4,-8.92963282
Guave,Guave_130,9,5,-10.8901401
Guave,Guave_131,15,5,-8.822297525
Guave,Guave_132,5,5,-10.60821442
Guave,Guave_133,3.5,5,-10.14231323
Guave,Guave_134,4,3,-10.44080016
Guave,Guave_135,2,4.5,-11.25062919
Guave,Guave_136,2,5,-9.900023897
Guave,Guave_241,7,5.5,-12.26517238
Guave,Guave_242,7,5,-12.08659146
Guave,Guave_243,3,4,-11.01906395
Guave,Guave_244,2,6,-11.96713442
Guave,Guave_245,16,5,-11.92788481
Guave,Guave_246,11,5,-11.15625888
Guave,Guave_247,9,5.5,-12.0897093
Guave,Guave_248,9,5.5,-12.6062766
Guave,Guave_249,8,5,-10.05653422
Guave,Guave_250,23,5.5,-10.29071789
Guave,Guave_251,11,5,-11.5536058
Guave,Guave_252,6,5,-11.96062276
Guave,Guave_253,14,4,-11.24297036
Guave,Guave_254,20,5,-11.40420407
Guave,Guave_255,2,4.5,-11.73365577
Guave,Guave_256,19,5,-10.99426536
Guave,Guave-257,32,4.5,-10.40481787
