Sample number;sugar content;PC1;PC2
8;2.1;-8.985881;-17.37838638
9;2;-9.710966;-53.83694795
10;2;-19.606436;20.19799995
11;1.8;-19.602366;19.9873742
12;2;-18.867711;18.92130189
24;2;-18.85925;-0.06515313
25;1;-18.983199;-9.6715716
26;2;-18.911101;-5.51757708
27;2;-18.7559;-19.27428694
28;1.5;-18.885673;10.76101553
29;2;-19.418445;9.64948753
30;2;-19.332477;13.84177801
31;2;-19.620821;20.21910779
32;2;-19.512696;14.54846692
33;2;-19.634329;20.23755236
148;1.5;-18.223555;-49.06432052
149;2;-6.596213;-47.70527002
150;1.5;-8.70429;-7.83409605
151;1;57.623865;-24.03748398
152;2;-4.128822;-18.07538646
153;2;-17.814644;-49.80073473
154;1;-18.849225;-15.31044992
155;2;-16.711705;-11.09079355
156;2;62.207025;-3.14022779
157;2;14.149372;6.49318194
158;1.5;52.261841;-10.70725437
159;1;30.109709;-3.94033996
160;2;99.449525;12.06898189
161;1.5;-17.537668;-44.50013236
162;2;-18.456793;-15.67047181
163;2;60.773959;-10.33162162
164;2;87.484998;5.24963932
165;1.5;-18.384723;-27.64444357
166;1;-17.335906;1.44553909
167;2;-19.600467;20.20605186
168;1.5;-19.601985;19.93114151
169;1.5;72.258573;21.62327144
170;2;-19.613061;20.21028577
196;2;-18.504618;16.08071701
197;2;125.217892;9.16869872
198;2;38.155661;2.59110103
199;2;-17.436394;13.2614595
200;2;-17.924081;-4.65736615
201;2;-19.479766;20.29201938
202;2;-19.447981;20.25841203
203;1.3;-10.864654;-0.348792
205;1;-19.528484;20.2255621
206;2;-19.570288;20.2409804
207;2;-9.205155;19.59262371
208;2;-19.274672;18.98862117
209;1.5;-19.414828;17.779234
210;2;-18.795188;15.53150187
