Sample number;sugar content;PC1;PC2
1;5;-21.805554;-10.199306
2;4;-21.820953;-7.497178
3;5;116.344034;-8.091087
4;5;-21.857889;-4.382205
5;5;-21.860522;-2.14163
6;4.5;-17.646437;28.722908
7;5;-22.68066;57.193639
34;6;-21.868838;-10.104066
35;4;-21.931068;-9.911772
36;4.5;-21.918665;-9.130731
37;3.5;-21.899017;-9.749878
38;3.5;-21.855667;-9.210208
39;4;-21.46414;-10.173555
40;3.5;-23.219253;81.67268
41;3;-21.861529;-9.701787
42;3;-22.680184;47.368348
43;4;-21.996236;-6.548156
44;4;-21.918705;-9.127527
45;5;-21.840682;-9.915
125;4.5;45.728969;12.347411
126;5;-21.113494;2.361247
127;5;91.925913;-1.584269
128;5;-13.715875;6.166741
129;4;-21.746848;3.09086
130;5;-1.289399;-1.763312
131;5;128.85792;8.371167
132;5;144.396452;3.248531
133;5;69.826362;-2.704232
134;3;-5.685072;2.80264
135;4.5;-12.252818;6.631363
241;5.5;-17.031528;-8.201848
242;5;-18.268914;-8.623429
243;4;-13.523559;-3.443325
244;6;-21.651115;-6.717799
245;5;21.660302;-2.989789
246;5;-21.370653;-8.379039
247;5.5;-21.358899;-8.742971
248;5.5;-21.937561;-5.981512
249;5;-21.673998;-8.855473
250;5.5;128.072979;-5.369225
251;5;-21.79429;-10.276959
252;5;-21.825871;-10.214455
253;4;-21.144969;-9.585359
254;5;-21.804248;-10.249797
255;4.5;-13.701579;-10.133333
256;5;-21.796244;-10.277324
