Sample number;sugar content;PC1;PC2
46;1;-10.6493929;-49.675968
47;1;-15.7042389;10.990556
48;1;-15.7946423;12.327539
49;1;-15.7998849;12.377371
50;1;-15.7083951;11.290091
52;1;-13.8195677;-12.613725
53;0.5;-15.8804656;12.846859
54;1;-15.7598061;11.738064
55;0.75;-15.8068813;12.369174
56;1;-15.7929102;12.318766
57;1.5;-15.7989372;12.331546
58;1;-15.7982018;12.336145
59;1;-12.6491175;12.886421
60;1;-15.7040376;12.340382
61;1;-15.8126967;12.385349
62;1;-15.6633775;12.540024
63;1;-15.6430002;10.889247
64;1.5;-15.5109355;8.984139
65;1;-15.6836683;10.959531
67;1.5;-15.5226737;12.471665
68;1;-15.5926711;10.332064
69;1;-7.1872812;4.712046
70;1;69.9882485;10.304872
71;1;-15.639259;10.565166
137;1;-12.1719146;-32.501822
138;2;-13.8114478;-10.453834
139;1;-10.5698021;-37.154178
140;1;160.816084;-20.430346
141;0.5;-13.1768618;-20.561211
142;1.5;0.0634787;-35.063756
143;1.5;-7.0592901;-8.702471
144;1;-13.3940745;-15.662263
145;1;-12.1580296;-26.798691
146;1.5;194.3956518;19.321248
