Sample number;sugar content;PCA1;PCA2
112;2;-37.2347472;-12.663315
113;1.5;107.8686464;-16.373391
114;2;-15.1301412;32.6598
115;2;-38.5604932;-11.993936
116;1.5;-38.3338514;-11.563911
118;3;-38.5602756;-11.994553
119;2;-37.6596727;-10.227002
120;2.5;-38.3647612;-11.60383
121;2;-38.5420957;-11.957268
172;1;51.491949;163.156021
173;1;-38.3494549;-11.595652
174;1.5;-6.6093085;57.184947
175;2;-22.9585722;26.382829
176;2;-38.3517849;-11.829667
177;1.5;-35.408762;-12.787403
178;2;-38.3738323;-11.6546
179;2;-38.4633704;-11.867119
180;2;-38.2155912;-11.278313
181;2;-37.1780502;-9.339867
182;2;-35.4105302;-12.947025
183;2;-16.2486153;-21.643961
184;1.3;-38.4146445;-11.711713
185;1;-0.3383182;60.81073
186;2;34.5965;88.142182
187;2;161.8335494;-7.359593
188;1.5;-5.1628212;51.975346
189;1;178.2629026;-21.381743
190;2.5;201.9351718;1.683896
191;1.5;150.3899961;12.830593
192;1.5;16.6664887;94.951988
193;2;-38.421792;-11.761905
194;2;78.762398;-8.507355
226;2;-38.4048568;-12.064633
227;2;-38.5557662;-12.007779
228;2;-38.5617636;-12.007797
229;2;-38.5460754;-11.985557
230;2.5;-38.0739523;-12.246134
231;2;-38.5288347;-12.061231
232;1.5;-38.551319;-11.997697
233;2;-38.5129049;-12.208506
234;2;-36.0019193;-9.136364
235;2;-34.4217575;-10.621047
236;2;70.4427483;-64.053611
237;1;-36.975667;-11.877985
238;2;146.1188054;-103.059713
239;2;-37.6111128;-12.30767
240;1.5;-35.3317401;-8.099486
