Sample number;sugar content;PC1;PC2
73;1;83.189946;-23.247534
74;1.5;-34.403777;-12.81291
75;1;-34.348993;-12.925374
76;1;-34.365006;-12.896633
77;1;-31.941603;-13.078418
78;1;-34.401877;-12.816887
82;2;-34.372602;-12.832431
83;1.5;-33.76874;-12.927673
84;2;48.965098;-15.031185
85;2;79.42184;-20.617277
86;2;-34.147754;-12.481661
87;1.5;-34.13474;-11.167819
88;2;-34.200234;-11.259434
89;2;61.88931;-17.430094
90;1;-33.72135;-11.914362
91;1;63.428697;-20.458101
95;1;-34.362756;-12.780375
96;1;-34.049337;-9.521581
97;1;-34.426681;-12.767303
98;1;51.469862;-9.749129
99;1;-34.29609;-12.652166
100;2;-34.426549;-12.767311
101;1;-12.84263;35.545251
102;1;4.591338;17.26148
103;1;-26.451845;58.57514
104;1;88.972827;41.832248
105;2;45.880614;19.662563
106;2;30.876613;38.869604
107;1;28.059007;60.786934
108;1;-24.831987;40.026736
109;1;-33.339685;-4.428428
110;1;-21.752214;52.636725
275;1;-34.431861;-12.765832
280;2;-17.275532;-14.180693
