Local name,Sample number,value puntc. res ,sugar content,color_pca1,color_pca2
Vandrika,Vandrika_13,70,8,-21.16,-12.55012905
Vandrika,Vandrika_14,100,3,-23.77,-10.15236258
Vandrika,Vandrika_15,69,7,-13.58,-3.155246871
Vandrika,Vandrika_16,87,6.5,-28.55,-16.69601036
Vandrika,Vandrika_17,72,8,-13.83,3.214073511
Vandrika,Vandrika_19,100,3,-19.79,3.104510095
Vandrika,Vandrika_20,100,6.5,-14.93,3.423817595
Vandrika,Vandrika_21,100,5.5,-12.44,-0.892153062
Vandrika,Vandrika_22,100,6,-9.85,2.510664406
Vandrika,Vandrika_23,100,5,-39.64,24.04295904
Vandrika,Vandrika_211,82,9,15.82,-0.540935956
Vandrika,Vandrika_212,90,7,14.78,0.738419511
Vandrika,Vandrika_213,73,9,13.88,1.317558316
Vandrika,Vandrika_214,81,10,13.01,-0.062688539
Vandrika,Vandrika_215,76,6.5,12.69,-1.224669136
Vandrika,Vandrika216,97,10,14.47,1.674053356
Vandrika,Vandrika_217,90,8.5,14.49,0.406452745
Vandrika,Vandrika_218,76.5,9,13.84,0.918988703
Vandrika,Vandrika_219,100,9,14.58,-0.026519555
Vandrika,Vandrika_220,57,8,14.97,0.204226371
Vandrika,Vandrika_221,100,9.5,16.23,-0.454365687
Vandrika,Vandrika_222,100,9,14.5,1.822999043
Vandrika,Vandrika_223,100,4,12.89,0.93063637
Vandrika,Vandrika_224,100,8,11.39,1.44572174
