Local name,Sample number,value puntc. res ,sugar content,color_pca1,color_pca2
Voara,Voara_72,80,1.5,-1.277632413,-5.668723268
Voara,Voara_73,100,1,-1.534292394,-2.268348934
Voara,Voara_74,100,1.5,1.227484338,-0.809687603
Voara,Voara_75,90,1,-2.569101109,-14.67324241
Voara,Voara_76,90,1,2.023031951,-8.83530028
Voara,Voara_77,73,1,-5.145283373,-12.28864382
Voara,Voara_78,93,1,-8.733851607,-11.41147916
Voara,Voara_79,100,1,-3.115335451,-11.58683534
Voara,Voara_80,98,1,-0.71403846,-4.987387441
Voara,Voara_81,70,1,-3.239397538,-12.35913394
Voara,Voara_82,100,2,6.681227284,7.582991572
Voara,Voara_83,100,1.5,7.824211686,8.65468432
Voara,Voara_84,80,2,7.247926614,7.870146112
Voara,Voara_85,100,2,8.819406292,8.192523081
Voara,Voara_86,75,2,8.306139648,8.354868749
Voara,Voara_87,100,1.5,7.533527829,8.67884995
Voara,Voara_88,100,2,7.817142382,8.584163334
Voara,Voara_89,90,2,7.50262725,8.522550927
Voara,Voara_90,100,1,7.183346792,8.558098417
Voara,Voara_91,100,1,7.735924529,6.491501645
Voara,Voara_94,4,1.5,4.942346899,0.407562426
Voara,Voara_95,2,1,-106.1760165,16.39941227
Voara,Voara_96,8.5,1,-42.13126829,6.961828991
Voara,Voara_97,4.3,1,3.851825527,-1.974422655
Voara,Voara_98,7,1,3.139813834,-3.167498676
Voara,Voara_99,22,1,2.689738898,-2.410334453
Voara,Voara_100,5.5,2,5.375178201,1.78721671
Voara,Voara_101,12,1,4.867684255,0.58926682
Voara,Voara_102,6,1,0.55502851,-9.247062095
Voara,Voara_103,9,1,1.36329108,-9.427922682
Voara,Voara_104,5,1,-16.10106836,-17.30732792
Voara,Voara_105,12,2,-0.472298202,-13.17859718
Voara,Voara_106,10,2,-0.133935083,-11.29151115
Voara,Voara_107,15,1,3.130154558,-0.935128664
Voara,Voara_108,8,1,-2.833305583,-14.36057796
Voara,Voara_109,14,1,-0.420976859,-12.00683777
Voara,Voara_110,5,1,0.128005394,-11.27164422
Voara,Voara_111,87,1,-13.69513897,-3.83905544
Voara,Voara_274,13,2.5,9.288565766,8.35644657
Voara,Voara_275,7,1,9.204922097,8.282434485
Voara,Voara_276,9,0.5,9.238303107,8.34076362
Voara,Voara_277,18,2,8.786635262,7.979024253
Voara,Voara_278,38,2.5,8.971534839,7.997942784
Voara,Voara_279,41,2,8.878693628,7.993277231
Voara,Voara_280,7,2,8.812729142,7.78326824
Voara,Voara_281,5,1,8.875569092,7.894176729
Voara,Voara_282,9,1,8.875745546,7.820999877
Voara,Voara_283,5,1,8.655351989,7.554438368
Voara,Voara_284,15,2.5,8.759825936,7.668265583
